id;title;description;vendor;published;cvss_score;severity;attack_vector;cwe_category;cwe_explanation;source
NVD:CVE-2021-43547;CVE-2021-43547;TwinOaks Computing CoreDX DDS versions prior to 5.9.1 are susceptible to exploitation when an attacker sends a specially crafted packet to flood target devices with unwanted traffic. This may result in a denial-of-service condition and information exposure.;CoreDX DDS;05/05/2022 17:15;82;HIGH;;CWE-400;This vulnerability falls under CWE-400: Uncontrolled Resource Consumption. The description highlights that an attacker can exploit the vulnerability by sending crafted packets to consume resources (bandwidth) on target devices, leading to a denial-of-service condition.;Vulners
CVE-2021-43547;CVE-2021-43547;TwinOaks Computing CoreDX DDS versions prior to 5.9.1 are susceptible to exploitation when an attacker sends a specially crafted packet to flood target devices with unwanted traffic. This may result in a denial-of-service condition and information exposure.;CoreDX DDS;05/05/2022 17:15;82;HIGH;;CWE-400;This vulnerability falls under CWE-400: Uncontrolled Resource Consumption, as it allows an attacker to flood the target devices, leading to denial of service. This is a classic example of resource exhaustion.;Vulners
PRION:CVE-2021-43547;Design/Logic Flaw;TwinOaks Computing CoreDX DDS versions prior to 5.9.1 are susceptible to exploitation when an attacker sends a specially crafted packet to flood target devices with unwanted traffic. This may result in a denial-of-service condition and information exposure.;CoreDX DDS;05/05/2022 17:15;85;;;CWE-400;Uncontrolled Resource Consumption: The vulnerability allows an attacker to send a specially crafted packet, leading to excessive resource consumption (traffic flooding) and potentially a denial of service.;Vulners
CVELIST:CVE-2021-43547;CVE-2021-43547 TwinOaks Computing CoreDX DDS Secure Network Amplification;TwinOaks Computing CoreDX DDS versions prior to 5.9.1 are susceptible to exploitation when an attacker sends a specially crafted packet to flood target devices with unwanted traffic. This may result in a denial-of-service condition and information exposure.;CoreDX DDS;05/05/2022 15:19;75;HIGH;;CWE-400;This vulnerability falls under CWE-400: Uncontrolled Resource Consumption. The description indicates that the vulnerability allows an attacker to send crafted packets that consume excessive resources (bandwidth), leading to a denial-of-service condition.;Vulners
ICSA-21-315-02;Multiple Data Distribution Service (DDS) Implementations (Update A);"EXECUTIVE SUMMARY

  * **CVSS v3 8.6**
  * **ATTENTION:** Exploitable remotely/low attack complexity
  * **Vendors:** Eclipse, eProsima, GurumNetworks, Object Computing, Inc. (OCI), Real-Time Innovations (RTI), TwinOaks Computing
  * **Equipment:** CycloneDDS, FastDDS, GurumDDS, OpenDDS, Connext DDS Professional, Connext DDS Secure, Connext DDS Micro, CoreDX DDS
  * **Vulnerabilities:** Write-what-where Condition, Improper Handling of Syntactically Invalid Structure, Network Amplification, Incorrect Calculation of Buffer Size, Heap-based Buffer Overflow, Improper Handling of Length Parameter Inconsistency, Amplification, Stack-based Buffer Overflow



CISA is aware of a public report detailing vulnerabilities found in multiple open-source and proprietary Object Management Group (OMG) Data-Distribution Service (DDS) implementations...";Fast DDS;01/02/2022 12:00;98;CRITICAL;;CWE-788;This vulnerability stems from issues like 'Write-what-where Condition', 'Incorrect Calculation of Buffer Size', 'Heap-based Buffer Overflow', and 'Stack-based Buffer Overflow', all pointing to a failure to properly manage buffer boundaries.;Vulners
ICSA-21-315-02;Multiple Data Distribution Service (DDS) Implementations (Update A);"EXECUTIVE SUMMARY

  * **CVSS v3 8.6**
  * **ATTENTION:** Exploitable remotely/low attack complexity
  * **Vendors:** Eclipse, eProsima, GurumNetworks, Object Computing, Inc. (OCI), Real-Time Innovations (RTI), TwinOaks Computing
  * **Equipment:** CycloneDDS, FastDDS, GurumDDS, OpenDDS, Connext DDS Professional, Connext DDS Secure, Connext DDS Micro, CoreDX DDS
  * **Vulnerabilities:** Write-what-where Condition, Improper Handling of Syntactically Invalid Structure, Network Amplification, Incorrect Calculation of Buffer Size, Heap-based Buffer Overflow, Improper Handling of Length Parameter Inconsistency, Amplification, Stack-based Buffer Overflow



CISA is aware of a public report detailing vulnerabilities found in multiple open-source and proprietary Object Management Group (OMG) Data-Distribution Service (DDS) implementations...";Fast DDS;01/02/2022 12:00;98;CRITICAL;;CWE-788;Similar to Eclipse, the mention of buffer overflow vulnerabilities indicates a potential weakness in buffer management.;Vulners
ICSA-21-315-02;Multiple Data Distribution Service (DDS) Implementations (Update A);"EXECUTIVE SUMMARY

  * **CVSS v3 8.6**
  * **ATTENTION:** Exploitable remotely/low attack complexity
  * **Vendors:** Eclipse, eProsima, GurumNetworks, Object Computing, Inc. (OCI), Real-Time Innovations (RTI), TwinOaks Computing
  * **Equipment:** CycloneDDS, FastDDS, GurumDDS, OpenDDS, Connext DDS Professional, Connext DDS Secure, Connext DDS Micro, CoreDX DDS
  * **Vulnerabilities:** Write-what-where Condition, Improper Handling of Syntactically Invalid Structure, Network Amplification, Incorrect Calculation of Buffer Size, Heap-based Buffer Overflow, Improper Handling of Length Parameter Inconsistency, Amplification, Stack-based Buffer Overflow



CISA is aware of a public report detailing vulnerabilities found in multiple open-source and proprietary Object Management Group (OMG) Data-Distribution Service (DDS) implementations...";Gurum DDS;01/02/2022 12:00;98;CRITICAL;;CWE-788;As with the others, 'Network Amplification' coupled with the buffer overflow issues strongly suggests problems with handling buffer sizes effectively.;Vulners
ICSA-21-315-02;Multiple Data Distribution Service (DDS) Implementations (Update A);"EXECUTIVE SUMMARY

  * **CVSS v3 8.6**
  * **ATTENTION:** Exploitable remotely/low attack complexity
  * **Vendors:** Eclipse, eProsima, GurumNetworks, Object Computing, Inc. (OCI), Real-Time Innovations (RTI), TwinOaks Computing
  * **Equipment:** CycloneDDS, FastDDS, GurumDDS, OpenDDS, Connext DDS Professional, Connext DDS Secure, Connext DDS Micro, CoreDX DDS
  * **Vulnerabilities:** Write-what-where Condition, Improper Handling of Syntactically Invalid Structure, Network Amplification, Incorrect Calculation of Buffer Size, Heap-based Buffer Overflow, Improper Handling of Length Parameter Inconsistency, Amplification, Stack-based Buffer Overflow



CISA is aware of a public report detailing vulnerabilities found in multiple open-source and proprietary Object Management Group (OMG) Data-Distribution Service (DDS) implementations...";RTI Connext DDS;01/02/2022 12:00;98;CRITICAL;;CWE-788;Again, the description highlighting buffer overflows points to vulnerabilities related to improper management of buffer sizes.;Vulners
ICSA-21-315-02;Multiple Data Distribution Service (DDS) Implementations (Update A);"EXECUTIVE SUMMARY

  * **CVSS v3 8.6**
  * **ATTENTION:** Exploitable remotely/low attack complexity
  * **Vendors:** Eclipse, eProsima, GurumNetworks, Object Computing, Inc. (OCI), Real-Time Innovations (RTI), TwinOaks Computing
  * **Equipment:** CycloneDDS, FastDDS, GurumDDS, OpenDDS, Connext DDS Professional, Connext DDS Secure, Connext DDS Micro, CoreDX DDS
  * **Vulnerabilities:** Write-what-where Condition, Improper Handling of Syntactically Invalid Structure, Network Amplification, Incorrect Calculation of Buffer Size, Heap-based Buffer Overflow, Improper Handling of Length Parameter Inconsistency, Amplification, Stack-based Buffer Overflow



CISA is aware of a public report detailing vulnerabilities found in multiple open-source and proprietary Object Management Group (OMG) Data-Distribution Service (DDS) implementations...";RTI Connext DDS;01/02/2022 12:00;98;CRITICAL;;CWE-788;The report's mention of buffer overflow vulnerabilities clearly implicates issues with managing buffer boundaries within their DDS implementations.;Vulners
ICSA-21-315-02;Multiple Data Distribution Service (DDS) Implementations (Update A);"EXECUTIVE SUMMARY

  * **CVSS v3 8.6**
  * **ATTENTION:** Exploitable remotely/low attack complexity
  * **Vendors:** Eclipse, eProsima, GurumNetworks, Object Computing, Inc. (OCI), Real-Time Innovations (RTI), TwinOaks Computing
  * **Equipment:** CycloneDDS, FastDDS, GurumDDS, OpenDDS, Connext DDS Professional, Connext DDS Secure, Connext DDS Micro, CoreDX DDS
  * **Vulnerabilities:** Write-what-where Condition, Improper Handling of Syntactically Invalid Structure, Network Amplification, Incorrect Calculation of Buffer Size, Heap-based Buffer Overflow, Improper Handling of Length Parameter Inconsistency, Amplification, Stack-based Buffer Overflow



CISA is aware of a public report detailing vulnerabilities found in multiple open-source and proprietary Object Management Group (OMG) Data-Distribution Service (DDS) implementations...";CoreDX DDS;01/02/2022 12:00;98;CRITICAL;;CWE-788;The emphasis on buffer overflow issues strongly indicates vulnerabilities related to the mismanagement of buffer sizes in their DDS implementations.;Vulners
